"year","char","t","f","m"
2006,"q",0.001,0.001,0.002
2006,"r",0.035,0.026,0.043
2006,"s",0.085,0.109,0.062
2006,"t",0.031,0.021,0.04
2006,"u",0.004,0.005,0.003
2006,"v",0.016,0.017,0.015
2006,"w",0.001,0,0.001
2006,"x",0,0,0.001
2006,"y",0.017,0.013,0.022
2006,"z",0.012,0.019,0.006
2007,"a",0.122,0.147,0.099
2007,"b",0.02,0.012,0.027
2007,"c",0.033,0.044,0.022
2007,"d",0.042,0.023,0.06
2007,"e",0.069,0.09,0.049
2007,"f",0.029,0.024,0.035
2007,"g",0.022,0.018,0.026
2007,"h",0.017,0.017,0.018
2007,"i",0.019,0.025,0.013
2007,"j",0.074,0.047,0.099
2007,"k",0.023,0.023,0.022
2007,"l",0.128,0.132,0.123
2007,"m",0.107,0.107,0.108
2007,"n",0.069,0.061,0.076
2007,"o",0.01,0.006,0.014
2007,"p",0.016,0.012,0.02
2007,"q",0,0,0
2007,"r",0.036,0.029,0.043
2007,"s",0.076,0.108,0.046
2007,"t",0.035,0.021,0.049
2007,"u",0.002,0.002,0.002
2007,"v",0.02,0.021,0.018
2007,"w",0.002,0,0.004
2007,"x",0.003,0.002,0.003
2007,"y",0.016,0.013,0.019
2007,"z",0.007,0.011,0.003
2008,"a",0.117,0.14,0.097
2008,"b",0.024,0.012,0.035
2008,"c",0.034,0.043,0.026
2008,"d",0.042,0.022,0.06
2008,"e",0.075,0.091,0.06
2008,"f",0.028,0.019,0.037
2008,"g",0.023,0.02,0.024
2008,"h",0.018,0.02,0.016
2008,"i",0.019,0.024,0.015
2008,"j",0.066,0.049,0.081
2008,"k",0.021,0.02,0.022
2008,"l",0.129,0.135,0.123
2008,"m",0.1,0.096,0.104
2008,"n",0.06,0.059,0.06
2008,"o",0.01,0.005,0.014
2008,"p",0.02,0.015,0.025
2008,"q",0.002,0,0.003
2008,"r",0.039,0.037,0.04
2008,"s",0.082,0.111,0.054
2008,"t",0.033,0.023,0.043
2008,"u",0.003,0.003,0.003
2008,"v",0.023,0.021,0.024
2008,"w",0.003,0.001,0.004
2008,"x",0.001,0.001,0.001
2008,"y",0.02,0.018,0.022
2008,"z",0.009,0.012,0.006
2009,"a",0.126,0.141,0.111
2009,"b",0.019,0.011,0.026
2009,"c",0.033,0.041,0.026
2009,"d",0.038,0.026,0.049
2009,"e",0.068,0.08,0.056
2009,"f",0.029,0.025,0.032
2009,"g",0.025,0.016,0.033
2009,"h",0.018,0.02,0.016
2009,"i",0.016,0.021,0.012
2009,"j",0.066,0.06,0.072
2009,"k",0.023,0.021,0.025
2009,"l",0.134,0.135,0.133
2009,"m",0.118,0.126,0.111
2009,"n",0.058,0.051,0.065
2009,"o",0.01,0.007,0.012
2009,"p",0.017,0.008,0.026
2009,"q",0.002,0.001,0.003
2009,"r",0.037,0.031,0.043
2009,"s",0.078,0.104,0.054
2009,"t",0.031,0.023,0.038
2009,"u",0.001,0.002,0.001
2009,"v",0.02,0.018,0.023
2009,"w",0.004,0.004,0.005
2009,"x",0.002,0.002,0.002
2009,"y",0.014,0.01,0.018
2009,"z",0.01,0.014,0.006
2010,"a",0.125,0.147,0.104
2010,"b",0.015,0.008,0.023
2010,"c",0.034,0.045,0.023
2010,"d",0.037,0.022,0.051
2010,"e",0.082,0.104,0.06
2010,"f",0.034,0.027,0.041
2010,"g",0.021,0.017,0.025
2010,"h",0.018,0.022,0.014
2010,"i",0.018,0.024,0.013
2010,"j",0.074,0.052,0.094
2010,"k",0.022,0.021,0.024
2010,"l",0.138,0.148,0.129
2010,"m",0.105,0.096,0.114
2010,"n",0.055,0.044,0.066
2010,"o",0.012,0.011,0.013
2010,"p",0.016,0.01,0.022
2010,"q",0.001,0,0.002
2010,"r",0.032,0.029,0.034
2010,"s",0.075,0.098,0.052
2010,"t",0.03,0.022,0.037
2010,"u",0.002,0.001,0.002
2010,"v",0.02,0.021,0.019
2010,"w",0.002,0,0.004
2010,"x",0.002,0.001,0.003
2010,"y",0.021,0.016,0.026
2010,"z",0.008,0.013,0.004
